epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,593.699,2.25755,4.71395,1.60072,0.98949,0.994,0.9949,0.82581,1.59383,0.66681,1.56722,0.0006656,0.0006656,0.0006656
2,992.377,1.91422,0.73931,1.58151,0.98497,0.98,0.99448,0.81283,1.49717,0.59785,1.56493,0.0012883,0.0012883,0.0012883
3,1385.57,1.86101,0.71458,1.58118,0.99599,0.99277,0.99496,0.84349,1.33719,0.53327,1.55999,0.001867,0.001867,0.001867
4,1793.84,1.73987,0.66609,1.57381,0.98706,0.997,0.9949,0.83896,1.42749,0.54814,1.55701,0.001802,0.001802,0.001802
5,2212.08,1.58116,0.59664,1.56752,0.99397,0.996,0.9949,0.86177,1.23601,0.46824,1.55847,0.001736,0.001736,0.001736
6,2608.46,1.55082,0.58272,1.57106,0.99597,0.98941,0.99494,0.86752,1.18328,0.44884,1.55023,0.00167,0.00167,0.00167
7,3007.12,1.48173,0.55661,1.55589,0.99684,0.994,0.995,0.88518,1.13274,0.44294,1.55204,0.001604,0.001604,0.001604
8,3432.02,1.39592,0.52646,1.56286,0.98973,1,0.99489,0.87134,1.15856,0.45563,1.55057,0.001538,0.001538,0.001538
9,3838.5,1.37592,0.52118,1.5556,0.99446,0.999,0.99499,0.88615,1.12725,0.44589,1.54821,0.001472,0.001472,0.001472
10,4249.03,1.30259,0.49159,1.5555,0.99399,0.996,0.99495,0.87933,1.14791,0.43333,1.54615,0.001406,0.001406,0.001406
11,4661.86,1.30459,0.49168,1.5616,0.98889,0.996,0.99493,0.88782,1.08572,0.42523,1.54697,0.00134,0.00134,0.00134
12,5054.42,1.26734,0.47768,1.55096,0.996,0.9964,0.99499,0.89829,1.03045,0.40021,1.54323,0.001274,0.001274,0.001274
13,5467.68,1.26244,0.47281,1.55231,0.99733,0.998,0.995,0.88601,1.09088,0.4034,1.54485,0.001208,0.001208,0.001208
14,5905.66,1.23852,0.479,1.54939,0.998,0.99964,0.99499,0.89575,1.01454,0.39781,1.5422,0.001142,0.001142,0.001142
15,6318.15,1.23705,0.46169,1.54764,0.99659,1,0.995,0.897,1.02029,0.40123,1.54337,0.001076,0.001076,0.001076
16,6728.02,1.1827,0.44941,1.54856,0.99378,0.999,0.99499,0.89997,0.98393,0.38241,1.54091,0.00101,0.00101,0.00101
17,7145.59,1.17985,0.44744,1.54819,0.99587,0.998,0.995,0.89277,1.04199,0.39358,1.54123,0.000944,0.000944,0.000944
18,7534.1,1.15169,0.43463,1.55025,0.998,0.99896,0.995,0.90478,0.96448,0.36238,1.53905,0.000878,0.000878,0.000878
19,7922.07,1.14046,0.43875,1.5469,1,0.99668,0.995,0.88879,1.03654,0.39041,1.54113,0.000812,0.000812,0.000812
20,8318.63,1.12139,0.42341,1.55047,0.99402,0.99749,0.99497,0.90502,0.94408,0.35009,1.53865,0.000746,0.000746,0.000746
21,8712.09,1.09804,0.41511,1.54138,0.99108,0.99974,0.995,0.89567,0.99958,0.38098,1.54085,0.00068,0.00068,0.00068
22,9134.68,1.06685,0.4137,1.53231,0.99959,0.997,0.995,0.91045,0.91948,0.35699,1.53803,0.000614,0.000614,0.000614
23,9542.43,1.0512,0.39503,1.52901,0.998,0.99787,0.995,0.90784,0.93944,0.34806,1.53903,0.000548,0.000548,0.000548
24,9943.76,1.02671,0.38989,1.53207,0.998,0.99874,0.995,0.91265,0.9199,0.34369,1.5361,0.000482,0.000482,0.000482
25,10336.6,1.00554,0.37939,1.52686,0.99892,0.997,0.995,0.9096,0.92284,0.348,1.53595,0.000416,0.000416,0.000416
26,10791.8,0.99575,0.3779,1.52659,0.99701,0.99996,0.99495,0.90951,0.93077,0.35704,1.53617,0.00035,0.00035,0.00035
27,11210.4,0.9748,0.36018,1.53488,0.99676,0.997,0.99493,0.91582,0.8925,0.32974,1.53467,0.000284,0.000284,0.000284
28,11626.5,0.95737,0.35692,1.52443,0.999,0.99866,0.995,0.91651,0.87367,0.32412,1.53441,0.000218,0.000218,0.000218
29,12044.8,0.94974,0.35472,1.53255,0.99959,0.999,0.995,0.91582,0.88035,0.32856,1.53399,0.000152,0.000152,0.000152
30,12454.3,0.92527,0.34425,1.52545,0.99993,1,0.995,0.91931,0.85011,0.31647,1.53305,8.6e-05,8.6e-05,8.6e-05
